dataset,detector,video_name,true_label,n_frames,n_correct_frames,n_wrong_frames,frame_accuracy,avg_prob_fake,std_prob_fake,video_pred_by_avg,video_correct_by_avg,video_pred_by_majority,video_correct_by_majority
frames_cropped_faces_5src,FFD+F3Net (Ensemble),5_1,fake,20,10,10,0.5,0.500238,0.0,real,0,fake,1
frames_cropped_faces_5src,FFD+F3Net (Ensemble),5_10,fake,20,0,20,0.0,0.500237,0.0,real,0,real,0
frames_cropped_faces_5src,FFD+F3Net (Ensemble),5_11,fake,20,20,0,1.0,0.500239,0.0,fake,1,fake,1
frames_cropped_faces_5src,FFD+F3Net (Ensemble),5_12,fake,20,20,0,1.0,0.50024,0.0,fake,1,fake,1
frames_cropped_faces_5src,FFD+F3Net (Ensemble),5_13,fake,20,1,19,0.05,0.500238,0.0,real,0,real,0
frames_cropped_faces_5src,FFD+F3Net (Ensemble),5_14,fake,20,20,0,1.0,0.50024,0.0,fake,1,fake,1
frames_cropped_faces_5src,FFD+F3Net (Ensemble),5_15,fake,20,1,19,0.05,0.500237,0.0,real,0,real,0
frames_cropped_faces_5src,FFD+F3Net (Ensemble),5_16,fake,20,20,0,1.0,0.500239,0.0,fake,1,fake,1
frames_cropped_faces_5src,FFD+F3Net (Ensemble),5_17,fake,20,5,15,0.25,0.500238,0.0,real,0,real,0
frames_cropped_faces_5src,FFD+F3Net (Ensemble),5_18,fake,20,0,20,0.0,0.500237,0.0,real,0,real,0
frames_cropped_faces_5src,FFD+F3Net (Ensemble),5_19,fake,20,0,20,0.0,0.500236,0.0,real,0,real,0
frames_cropped_faces_5src,FFD+F3Net (Ensemble),5_2,fake,20,19,1,0.95,0.500239,0.0,fake,1,fake,1
frames_cropped_faces_5src,FFD+F3Net (Ensemble),5_20,fake,20,18,2,0.9,0.500239,0.0,fake,1,fake,1
frames_cropped_faces_5src,FFD+F3Net (Ensemble),5_21,fake,20,2,18,0.1,0.500238,0.0,real,0,real,0
frames_cropped_faces_5src,FFD+F3Net (Ensemble),5_22,fake,20,0,20,0.0,0.500236,0.0,real,0,real,0
frames_cropped_faces_5src,FFD+F3Net (Ensemble),5_23,fake,20,0,20,0.0,0.500238,0.0,real,0,real,0
frames_cropped_faces_5src,FFD+F3Net (Ensemble),5_24,fake,20,19,1,0.95,0.500239,0.0,fake,1,fake,1
frames_cropped_faces_5src,FFD+F3Net (Ensemble),5_25,fake,20,19,1,0.95,0.500238,0.0,fake,1,fake,1
frames_cropped_faces_5src,FFD+F3Net (Ensemble),5_26,fake,20,0,20,0.0,0.500238,0.0,real,0,real,0
frames_cropped_faces_5src,FFD+F3Net (Ensemble),5_27,fake,20,20,0,1.0,0.500239,0.0,fake,1,fake,1
frames_cropped_faces_5src,FFD+F3Net (Ensemble),5_28,fake,20,20,0,1.0,0.50024,0.0,fake,1,fake,1
frames_cropped_faces_5src,FFD+F3Net (Ensemble),5_29,fake,20,0,20,0.0,0.500236,1e-06,real,0,real,0
frames_cropped_faces_5src,FFD+F3Net (Ensemble),5_3,fake,20,1,19,0.05,0.500237,0.0,real,0,real,0
frames_cropped_faces_5src,FFD+F3Net (Ensemble),5_30,fake,20,9,11,0.45,0.500239,1e-06,fake,1,real,0
frames_cropped_faces_5src,FFD+F3Net (Ensemble),5_31,fake,20,20,0,1.0,0.500239,1e-06,fake,1,fake,1
frames_cropped_faces_5src,FFD+F3Net (Ensemble),5_32,fake,20,0,20,0.0,0.500237,0.0,real,0,real,0
frames_cropped_faces_5src,FFD+F3Net (Ensemble),5_33,fake,20,20,0,1.0,0.50024,0.0,fake,1,fake,1
frames_cropped_faces_5src,FFD+F3Net (Ensemble),5_34,fake,20,12,8,0.6,0.500238,0.0,fake,1,fake,1
frames_cropped_faces_5src,FFD+F3Net (Ensemble),5_35,fake,20,2,18,0.1,0.500238,0.0,real,0,real,0
frames_cropped_faces_5src,FFD+F3Net (Ensemble),5_36,fake,20,20,0,1.0,0.500243,1e-06,fake,1,fake,1
frames_cropped_faces_5src,FFD+F3Net (Ensemble),5_37,fake,20,20,0,1.0,0.500242,0.0,fake,1,fake,1
frames_cropped_faces_5src,FFD+F3Net (Ensemble),5_38,fake,20,0,20,0.0,0.500237,0.0,real,0,real,0
frames_cropped_faces_5src,FFD+F3Net (Ensemble),5_39,fake,20,20,0,1.0,0.50024,1e-06,fake,1,fake,1
frames_cropped_faces_5src,FFD+F3Net (Ensemble),5_4,fake,20,20,0,1.0,0.500239,0.0,fake,1,fake,1
frames_cropped_faces_5src,FFD+F3Net (Ensemble),5_40,fake,20,17,3,0.85,0.500238,0.0,fake,1,fake,1
frames_cropped_faces_5src,FFD+F3Net (Ensemble),5_41,fake,20,3,17,0.15,0.500238,0.0,real,0,real,0
frames_cropped_faces_5src,FFD+F3Net (Ensemble),5_42,fake,20,20,0,1.0,0.50024,0.0,fake,1,fake,1
frames_cropped_faces_5src,FFD+F3Net (Ensemble),5_43,fake,20,20,0,1.0,0.500241,0.0,fake,1,fake,1
frames_cropped_faces_5src,FFD+F3Net (Ensemble),5_44,fake,20,2,18,0.1,0.500238,0.0,real,0,real,0
frames_cropped_faces_5src,FFD+F3Net (Ensemble),5_45,fake,20,0,20,0.0,0.500237,0.0,real,0,real,0
frames_cropped_faces_5src,FFD+F3Net (Ensemble),5_46,fake,20,0,20,0.0,0.500237,0.0,real,0,real,0
frames_cropped_faces_5src,FFD+F3Net (Ensemble),5_47,fake,20,20,0,1.0,0.500239,0.0,fake,1,fake,1
frames_cropped_faces_5src,FFD+F3Net (Ensemble),5_48,fake,20,0,20,0.0,0.500236,0.0,real,0,real,0
frames_cropped_faces_5src,FFD+F3Net (Ensemble),5_49,fake,20,2,18,0.1,0.500238,0.0,real,0,real,0
frames_cropped_faces_5src,FFD+F3Net (Ensemble),5_5,fake,20,1,19,0.05,0.500238,0.0,real,0,real,0
frames_cropped_faces_5src,FFD+F3Net (Ensemble),5_50,fake,20,2,18,0.1,0.500238,0.0,real,0,real,0
frames_cropped_faces_5src,FFD+F3Net (Ensemble),5_6,fake,20,0,20,0.0,0.500237,0.0,real,0,real,0
frames_cropped_faces_5src,FFD+F3Net (Ensemble),5_7,fake,20,20,0,1.0,0.500239,0.0,fake,1,fake,1
